# ANZ150_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 100	6	100
-1.6	0	0	-4.14867797753764
-1.6	0	1	-4.14730514332282
-1.6	0	2	-4.14762107087799
-1.6	0	3	-4.14837386317403
-1.6	0	4	-4.14763836374812
-1.6	0	5	-4.14890631864973
-1.6	0	6	-4.14800568358843
-1.6	0	7	-4.14896334843069
-1.6	0	8	-4.14773368404777
-1.6	0	9	-4.147660059405
-1.6	0	10	-4.14966797154807
-1.6	0	11	-4.14818429603537
-1.6	0	12	-4.1500432395259
-1.6	0	13	-4.15077111338155
-1.6	0	14	-4.14908170891835
-1.6	0	15	-4.14969643355397
-1.6	0	16	-4.14726481372328
-1.6	0	17	-4.14930075716661
-1.6	0	18	-4.14956958825878
-1.6	0	19	-4.14792819270385
-1.6	0	20	-4.1490646308008
-1.6	0	21	-4.14835560498129
-1.6	0	22	-4.14897371237799
-1.6	0	23	-4.15006810242267
-1.6	0	24	-4.14799182946507
-1.6	0	25	-4.14902285099619
-1.6	0	26	-4.14682316922015
-1.6	0	27	-4.14908466084891
-1.6	0	28	-4.14976173331373
-1.6	0	29	-4.14848470384436
-1.6	0	30	-4.1490328935014
-1.6	0	31	-4.14872888670163
-1.6	0	32	-4.15031437924178
-1.6	0	33	-4.15062359437557
-1.6	0	34	-4.14883081348887
-1.6	0	35	-4.15023978868202
-1.6	0	36	-4.14815390096053
-1.6	0	37	-4.14873006813654
-1.6	0	38	-4.14984948178751
-1.6	0	39	-4.14886883411174
-1.6	0	40	-4.15029590627804
-1.6	0	41	-4.14850742046846
-1.6	0	42	-4.14815438309646
-1.6	0	43	-4.14949666115617
-1.6	0	44	-4.14788995684406
-1.6	0	45	-4.14861525486621
-1.6	0	46	-4.14717432530704
-1.6	0	47	-4.14801277264836
-1.6	0	48	-4.14936294369678
-1.6	0	49	-4.14736067138181
-1.6	0	50	-4.14985077321395
-1.6	0	51	-4.14898246746439
-1.6	0	52	-4.14983670205313
-1.6	0	53	-4.15004447380024
-1.6	0	54	-4.14763041503983
-1.6	0	55	-4.14920683388933
-1.6	0	56	-4.14787663862133
-1.6	0	57	-4.14934017428379
-1.6	0	58	-4.14951218140596
-1.6	0	59	-4.14726868043472
-1.6	0	60	-4.14928470159358
-1.6	0	61	-4.14877571474452
-1.6	0	62	-4.14975786766202
-1.6	0	63	-4.15055662899817
-1.6	0	64	-4.14868028734021
-1.6	0	65	-4.14991833070363
-1.6	0	66	-4.14827032732908
-1.6	0	67	-4.1486958596734
-1.6	0	68	-4.14866068490367
-1.6	0	69	-4.14613068411435
-1.6	0	70	-4.14793184494261
-1.6	0	71	-4.14672532430423
-1.6	0	72	-4.14715354274754
-1.6	0	73	-4.1480601364593
-1.6	0	74	-4.14660315286921
-1.6	0	75	-4.14734047944996
-1.6	0	76	-4.14563872177177
-1.6	0	77	-4.14801975306013
-1.6	0	78	-4.1473301132238
-1.6	0	79	-4.1457663169777
-1.6	0	80	-4.14734413119831
-1.6	0	81	-4.14694598496775
-1.6	0	82	-4.14803333954244
-1.6	0	83	-4.14783539381105
-1.6	0	84	-4.14645821155503
-1.6	0	85	-4.14761972877031
-1.6	0	86	-4.14698583183434
-1.6	0	87	-4.14746383152058
-1.6	0	88	-4.14785708889262
-1.6	0	89	-4.14621692918318
-1.6	0	90	-4.14601635296262
-1.6	0	91	-4.1426133740072
-1.6	0	92	-4.14308278192569
-1.6	0	93	-4.14318508291154
-1.6	0	94	-4.1423058774976
-1.6	0	95	-4.14268866466436
-1.6	0	96	-4.14162155413459
-1.6	0	97	-4.14243744694274
-1.6	0	98	-4.14365427590259
-1.6	0	99	-4.14237794591799

-1.6	1	0	2.54095835468349
-1.6	1	1	2.54098531298139
-1.6	1	2	2.54103477232923
-1.6	1	3	2.54093316854421
-1.6	1	4	2.54080084733628
-1.6	1	5	2.54077388903823
-1.6	1	6	2.54076572636619
-1.6	1	7	2.54084568833005
-1.6	1	8	2.54069151049368
-1.6	1	9	2.54080514347961
-1.6	1	10	2.5409845611565
-1.6	1	11	2.54103015397555
-1.6	1	12	2.54085573056459
-1.6	1	13	2.54101973582825
-1.6	1	14	2.54104127024577
-1.6	1	15	2.54107649861924
-1.6	1	16	2.54099347565337
-1.6	1	17	2.54105356795527
-1.6	1	18	2.54107757265509
-1.6	1	19	2.54112359508835
-1.6	1	20	2.54094659399173
-1.6	1	21	2.54078011844581
-1.6	1	22	2.54083365912937
-1.6	1	23	2.54074376233448
-1.6	1	24	2.54070783583763
-1.6	1	25	2.54074859549556
-1.6	1	26	2.54064011788163
-1.6	1	27	2.54076390050539
-1.6	1	28	2.54076653189321
-1.6	1	29	2.54077968883127
-1.6	1	30	2.54077899070811
-1.6	1	31	2.54075471749925
-1.6	1	32	2.5408125006245
-1.6	1	33	2.54073661999664
-1.6	1	34	2.54077120394876
-1.6	1	35	2.54075418048152
-1.6	1	36	2.54070729881972
-1.6	1	37	2.54072727588548
-1.6	1	38	2.54072818881563
-1.6	1	39	2.54075804701026
-1.6	1	40	2.54075938955496
-1.6	1	41	2.54073291457309
-1.6	1	42	2.54072179830284
-1.6	1	43	2.5407627190661
-1.6	1	44	2.54077335202047
-1.6	1	45	2.54083000740778
-1.6	1	46	2.54074064763071
-1.6	1	47	2.54073946619137
-1.6	1	48	2.5407190058098
-1.6	1	49	2.54096265082636
-1.6	1	50	2.5410726857922
-1.6	1	51	2.54102924104504
-1.6	1	52	2.54110044961711
-1.6	1	53	2.54113218737461
-1.6	1	54	2.5410199506353
-1.6	1	55	2.54110866599103
-1.6	1	56	2.54096866542699
-1.6	1	57	2.54077571489887
-1.6	1	58	2.54072072426714
-1.6	1	59	2.5406946788994
-1.6	1	60	2.54103342978477
-1.6	1	61	2.54099454968926
-1.6	1	62	2.54106779892951
-1.6	1	63	2.54102451528741
-1.6	1	64	2.5410796670248
-1.6	1	65	2.54110351061914
-1.6	1	66	2.54112783752969
-1.6	1	67	2.54128883549332
-1.6	1	68	2.54113562428923
-1.6	1	69	2.54102623374471
-1.6	1	70	2.54107284689759
-1.6	1	71	2.54104153875457
-1.6	1	72	2.5410150637726
-1.6	1	73	2.54072518151541
-1.6	1	74	2.54078140728872
-1.6	1	75	2.54073511634641
-1.6	1	76	2.54074252719344
